Token,Index
当以,"[['1014278'], []]"
当做,"[['1008145', '1012242', '1014278', '1016300', '1040771', '1087758', '1090043', '1143694', '1261153', '1465324', '1581547', '1949068', '2056749', '2243213', '2267883', '2345727', '3609132'], ['1014278', '1087758', '1261153', '1949068', '2267883']]"
党派,"[['1059336', '1903968'], []]"
党骗,"[['5292912'], []]"
党史,"[['1059336', '1903968'], []]"
荡荡,"[['1085799', '1319345', '1794202', '1968643', '2082194', '2297786', '3018339', '3776157', '4741216'], ['1794202', '2297786', '4741216']]"
荡涤,"[['1007433', '1010472', '1017143', '1035477', '1059112', '1082584', '1088065', '1092149', '1255288', '2161892'], ['1017143', '1082584', '1255288']]"
荡妇,"[['1417905'], []]"
荡漾,"[['1029159', '1312333', '2339950'], ['2339950']]"
档案,"[['1011977', '1963786'], []]"
刀,"[['1009938', '1022238', '1089518', '4011440'], ['1089518']]"
刀割,"[['2143732'], []]"
刀光,"[['1044547', '1089511'], []]"
刀魂,"[['1964044'], []]"
刀尖,"[['1765512'], []]"
刀手,"[['1059406'], []]"
捣鬼,"[['1898609'], []]"
倒斗,"[['1882933'], []]"
倒流,"[['1071241'], []]"
倒霉,"[['1029791', '3335362'], []]"
倒霉蛋,"[['3335362'], []]"
倒塌,"[['1046265', '1049477', '1068920', '1083428', '1207819', '1310164', '1343089', '1465324', '1794333', '1917972', '2034893', '2042966', '2056749'], ['1068920', '1310164', '1794333', '2042966']]"
倒叙,"[['1119522'], []]"
倒影,"[['1006881', '1460313'], []]"
岛悲,"[['1424741'], []]"
岛国,"[['1000594', '1015452', '1035362', '1039752', '1046265', '1079440', '1080370', '1283273', '1926700', '2250587', '2336093', '2584971', '3101457', '3678694', '3801097', '4173403', '4264003'], ['1035362', '1079440', '1926700', '2584971', '3801097']]"
岛兽,"[['1003078'], []]"
岛田洋,"[['2008284'], []]"
岛屿,"[['1001136', '1004088', '1007914', '1013380', '1018482', '1021615', '1036274', '1048610', '1063190', '1069071', '1070851', '1072319', '1084336', '1119839', '1204889', '1312333', '1331571', '1400705', '1794620', '1794844', '1892491', '1915536', '1963310', '2008284', '2032117', '2061644', '2082194', '2160226', '2214350', '2267630', '2977174', '3187737', '3187750'], ['1007914', '1021615', '1063190', '1072319', '1204889', '1400705', '1892491', '2008284', '2082194', '2267630', '3187750']]"
祷告,"[['1770782'], []]"
导读,"[['3642673', '3644791', '3662594'], ['3662594']]"
导论,"[['1057244'], []]"
导盲犬,"[['1001193'], []]"
导演,"[['1005660', '1011977', '1015767', '1016806', '1035326', '1075743', '1914636', '1949068', '2275502', '2326403', '3239824', '3547099', '3776157', '4886245'], ['1015767', '1075743', '2275502', '3547099']]"
到,"[['1043485', '1057244', '1067907', '1069848', '1079252', '1080309', '1082154', '1082518', '1082522', '1085799', '1088581', '1089243', '1292416', '1777823', '1907199', '2194123'], ['1067907', '1080309', '1082522', '1089243', '1907199']]"
到处,"[['1007914', '1008145', '1011977', '1016300', '1016523', '1020459', '1022060', '1035326', '1036490', '1044663', '1046265', '1054889', '1056461', '1056868', '1059419', '1060723', '1075538', '1336968', '1358873', '1361264', '1382829', '1433050', '1867064', '2161892', '3067169', '3103080', '4618225'], ['1011977', '1020459', '1036490', '1054889', '1059419', '1336968', '1382829', '2161892', '4618225']]"
到达,"[['1067907', '1456034', '1480980'], ['1480980']]"
稻草,"[['1064682', '1082398', '1085021', '1382846', '2056749', '2243213', '3259440', '3598313'], ['1085021', '2243213']]"
稻草人,"[['1064682', '1382846'], []]"
稻田,"[['1926700'], []]"
悼念,"[['1016300', '1449348'], []]"
道长,"[['3344676', '3642673', '3644791'], ['3644791']]"
道德,"[['1022060', '1044547', '1054685', '1059258', '1060774', '1329941', '1400707'], ['1054685', '1329941']]"
道德经,"[['1059258'], []]"
道尔,"[['1040211'], []]"
道格,"[['1394364'], []]"
道格拉斯,"[['1394364'], []]"
道教,"[['1902628'], []]"
道口,"[['2052448', '3009821', '3626924'], ['3626924']]"
道理,"[['1005193', '1008145', '1013225', '1013502', '1017143', '1021056', '1024217', '1029159', '1043201', '1043579', '1045818', '1046209', '1049219', '1055486', '1063190', '1077497', '1084336', '1180102', '1254588', '1310164', '1322066', '1322158', '1322248', '1322342', '1341035', '1388169', '1427679', '1436348', '1469051', '1781120', '1794333', '1794844', '1796596', '1878708', '1882933', '1892491', '1897413', '1914127', '1916726', '1926103', '1938591', '1959786', '1999037', '2022979', '2032666', '2034893', '2042241', '2057285', '2063819', '2082194', '2115040', '2149655', '2170629', '2278790', '2298149', '3009033', '3103080', '3239824', '3266344', '3394338', '3908032'], ['1013225', '1021056', '1043201', '1046209', '1063190', '1180102', '1322066', '1322342', '1427679', '1781120', '1796596', '1892491', '1916726', '1959786', '2032666', '2057285', '2115040', '2278790', '3103080', '3394338']]"
道路,"[['1007305', '1008145', '1017143', '1017563', '1020241', '1024217', '1027191', '1046265', '1048007', '1050743', '1054889', '1056023', '1056733', '1059537', '1060117', '1060774', '1065970', '1066462', '1072438', '1077528', '1082518', '1255288', '1322025', '1431836', '1440972', '1449352', '1464442', '1483522', '1729284', '1770782', '1775691', '1803022', '1819974', '1917972', '1926103', '2067299', '2131415', '2133254', '2161892', '2348372', '2980812', '3259440', '3323987', '3905366'], ['1017143', '1024217', '1048007', '1056023', '1060117', '1066462', '1082518', '1431836', '1464442', '1770782', '1819974', '2067299', '2161892', '3259440']]"
道门,"[['1020961', '1029553', '1059258', '1070851', '1391191', '1902628'], ['1059258', '1902628']]"
道明,"[['1008145'], []]"
道士,"[['1186350'], []]"
道学,"[['1902628'], []]"
道子,"[['1005576', '1012802', '1013369', '1016300', '1020961', '1022060', '1029791', '1040397', '1048007', '1059258', '1060774', '1063190', '1065970', '1069071', '1070851', '1074841', '1227838', '1291355', '1318427', '1440089', '1467022', '1529893', '1856025', '1902628', '1914572', '2035162', '2256438', '2977174', '3151990', '3683898'], ['1013369', '1022060', '1048007', '1063190', '1070851', '1291355', '1467022', '1902628', '2256438', '3683898']]"
盗版,"[['1002299', '1014533', '1044547', '1052380', '1055976', '1063624', '1068308', '1070851', '1076045', '1080309', '1255624', '1255625'], ['1044547', '1063624', '1076045', '1255625']]"
盗盒,"[['1082577'], []]"
盗墓,"[['1882933', '1916726', '1926103', '1938591', '1948901', '2057285', '2149655', '2265312', '2298149', '2340300', '3266344', '3800166'], ['1926103', '2057285', '2298149', '3800166']]"
盗窃,"[['1770782'], []]"
德國,"[['1002898', '1035326', '1467776', '1729284'], ['1467776']]"
德國帕,"[['1292416'], []]"
德國日,"[['1047138'], []]"
德奥,"[['1022632', '1047138', '1081422', '1083762', '1159939', '1201821', '1292416', '2297697', '2971734'], ['1081422', '1201821', '2971734']]"
德芭图,"[['2361768'], []]"
德波,"[['1056461', '1079252', '2033081'], ['2033081']]"
德伯,"[['1035477', '1056461', '1079252'], ['1079252']]"
德川,"[['2317974'], []]"
德尔,"[['1316648'], []]"
德国,"[['1002898', '1012032', '1012039', '1013225', '1016806', '1035326', '1040397', '1042434', '1043008', '1047138', '1052828', '1060117', '1081422', '1083762', '1159939', '1201821', '1213546', '1292416', '1382836', '1419736', '1456034', '1467776', '1729284', '1876333', '1907739', '2154960', '2180619', '2971734', '3369793', '3537590'], ['1012039', '1035326', '1043008', '1060117', '1159939', '1292416', '1456034', '1876333', '2180619', '3537590']]"
德国人,"[['1876333'], []]"
德华,"[['1364773', '2214344', '2265995'], ['2265995']]"
德加,"[['3013903'], []]"
德拉,"[['1013225', '1016486', '1017143', '1023709', '1025336', '1027247', '1030366', '1037954', '1045247', '1052828', '1057197', '1059537', '1060117', '1063796', '1064828', '1068920', '1083428', '1159939', '1317301', '1400705', '1400707', '1427825', '1433377', '1465324', '1794620', '1985223', '2171321', '2271582'], ['1017143', '1027247', '1045247', '1059537', '1064828', '1159939', '1400707', '1465324', '2171321']]"
德勒,"[['1013208', '3013903'], []]"
德里,"[['1012032'], []]"
德鲁,"[['1322025'], []]"
德鲁克,"[['1322025'], []]"
德曼,"[['1867642'], []]"
德梅尔,"[['1060723', '1070685', '1075538'], ['1075538']]"
德蒙,"[['1085860'], []]"
德斯,"[['1016806', '1035326'], []]"
德维希,"[['1351652'], []]"
德文,"[['1005918', '1045818', '1213546', '1467776', '2971734'], ['1213546']]"
德意志,"[['1047138', '1083762', '1213546', '1292416', '1907739', '2971734', '3537590'], ['1213546', '2971734']]"
德语,"[['1012032', '1016806', '1017143', '1035326', '1042434', '1043008', '1047138', '1059537', '1081422', '1083762', '1159939', '1213546', '1292416', '1467776', '1729284', '2154960', '2971734', '3537590'], ['1017143', '1043008', '1081422', '1213546', '1729284', '3537590']]"
德魯克,"[['1322025'], []]"
得分,"[['1786387'], []]"
得太差,"[['1036541'], []]"
得太多,"[['1079252'], []]"
得益于,"[['1033190', '1059937', '2258803', '2361768', '3316422', '3554154', '3608170'], ['2258803', '3554154']]"
得于,"[['1007433'], []]"
得志,"[['1017839', '3577218'], []]"
得罪,"[['1851385'], []]"
的话,"[['1000482', '1008145', '1020241', '1054889', '1066462', '1075495', '1223575', '1794844', '1906681', '1917972', '2036343', '3013903'], ['1020241', '1075495', '1906681', '3013903']]"
的譯,"[['2250587'], []]"
灯笼,"[['1025753', '2161892'], []]"
登高,"[['1041482', '1069848', '3181927'], ['3181927']]"
登载,"[['1049215'], []]"
等待时间,"[['1023048', '2061644'], []]"
等候,"[['1011977', '1016523', '1023048', '1023500', '1024217', '1026425', '1029159', '1030052', '1046265', '1056733', '1058234', '1063190', '1065970', '1066462', '1082518', '1312333', '1436348', '1461903', '1529893', '1794620', '1856285', '1917972', '2056749', '2061644', '2256438', '2326403', '3616310'], ['1023048', '1026425', '1046265', '1063190', '1082518', '1461903', '1856285', '2061644', '3616310']]"
等级,"[['1006073', '1006560', '1012637', '1013369', '1016300', '1016523', '1020459', '1029111', '1029159', '1030052', '1036243', '1044772', '1058234', '1059769', '1060068', '1062326', '1063190', '1065970', '1077497', '1082334', '1082369', '1082398', '1085021', '1203251', '1228110', '1258490', '1312333', '1329941', '1382834', '1388169', '1432596', '1529893', '2030664', '2056749', '2243213', '2256438', '2295163', '3010130', '3259440', '3598313'], ['1012637', '1016523', '1029159', '1044772', '1060068', '1065970', '1082369', '1203251', '1312333', '1388169', '2030664', '2256438', '3259440']]"
等价交换,"[['1364773'], []]"
等品,"[['1452923', '1767945', '1919072'], ['1919072']]"
邓,"[['1013129', '1432596', '2295163'], ['2295163']]"
低地,"[['3616310'], []]"
低调,"[['2042966'], []]"
低贱,"[['1051163', '1141406'], []]"
滴,"[['1032645', '1046265', '1056295', '1343089', '4264003'], ['1056295']]"
滴生,"[['1008145'], []]"
滴书,"[['1016300', '3033668'], []]"
滴水,"[['1077847', '1082584'], []]"
滴血,"[['1006073'], []]"
迪安,"[['1051440', '3598313'], []]"
迪克,"[['1022238'], []]"
迪伦,"[['1448761'], []]"
迪尼,"[['1005576'], []]"
笛,"[['1001885', '1005576', '1008988', '1031740', '1046265', '1048007', '1083762', '1090043', '1975797', '2042063', '2139305', '2180619', '2256039', '2295324', '3813669', '4113090', '4618225'], ['1008988', '1048007', '1975797', '2180619', '3813669']]"
笛安,"[['3598313'], []]"
笛福,"[['1016003'], []]"
笛福外,"[['1016003'], []]"
狄恩,"[['1917972'], []]"
狄更斯,"[['1007772', '1203251'], []]"
狄马,"[['1025723', '1077528'], []]"
狄浦斯,"[['1059419'], []]"
抵抗,"[['1006073', '1023500', '1029159', '1030052', '1058234', '1063190', '1065970', '1312333', '1468393', '1529893', '1947471', '2032117', '2297697', '2297706', '3864342'], ['1029159', '1063190', '1468393', '2032117', '3864342']]"
抵押品,"[['1016300', '1046265', '1220219', '1310164', '1394433', '1915536', '1926700', '2038238', '2086633', '2209098', '3369600'], ['1220219', '1915536', '2086633']]"
底里,"[['1082154'], []]"
底風,"[['1013416', '1016631'], []]"
地區,"[['1045352'], []]"
地板,"[['1017839'], []]"
地产,"[['1464442', '1941558', '2348372'], ['2348372']]"
地点,"[['1005918', '1007433', '1007772', '1011882', '1012489', '1012637', '1013225', '1013380', '1013502', '1016003', '1016486', '1017143', '1018482', '1021615', '1022632', '1023709', '1024197', '1024701', '1025176', '1025336', '1026317', '1030052', '1030366', '1035477', '1035848', '1037954', '1040211', '1040771', '1043008', '1045926', '1046209', '1050339', '1050743', '1051193', '1052828', '1057197', '1058661', '1060117', '1061563', '1063190', '1064275', '1064828', '1066462', '1069885', '1075538', '1078554', '1083428', '1083477', '1084336', '1084973', '1085021', '1085860', '1088743', '1092335', '1203251', '1205054', '1205370', '1205372', '1205373', '1205394', '1213546', '1255288', '1258498', '1400705', '1400707', '1401841', '1441869', '1449661', '1770782', '1786670', '1851385', '1868698', '1887754', '1970428', '2042063', '2056749', '2082194', '2193877', '2361768', '2363651', '3181927', '3335362', '3597938', '3642673', '3786755', '5317075'], ['1007772', '1012637', '1013502', '1017143', '1022632', '1024701', '1026317', '1035477', '1040211', '1045926', '1050743', '1057197', '1061563', '1064828', '1075538', '1083477', '1085021', '1092335', '1205370', '1205394', '1258498', '1401841', '1770782', '1868698', '2042063', '2193877', '3181927', '3642673']]"
地洞,"[['1021056', '1213546', '1321017', '1424555', '2170629', '2253753', '2286313'], ['1321017', '2253753']]"
地基,"[['1000534', '1007305', '1007928', '1008357', '1009938', '1010204', '1016631', '1019568', '1021273', '1027191', '1028409', '1028842', '1034282', '1036541', '1041993', '1045818', '1050339', '1203426', '1441853', '1873231', '1883245', '1949338', '3813669'], ['1007928', '1010204', '1021273', '1028842', '1041993', '1203426', '1883245']]"
地久,"[['3071717'], []]"
地看,"[['1027587'], []]"
地理,"[['1000482', '1001885', '1003479', '1017563', '1023045', '1032645', '1035326', '1046175', '1046492', '1050339', '1054889', '1056461', '1059336', '1060723', '1070685', '1070711', '1075495', '1075538', '1077847', '1080309', '1082334', '1083762', '1084082', '1225977', '1396339', '1427825', '1438461', '1440885', '1441869', '1448761', '1529893', '1863930', '1867642', '1868786', '1882933', '1902628', '1949338', '1962923', '2032117', '2036345', '2042063', '2201813', '2317974', '4113090', '4618225'], ['1003479', '1032645', '1046492', '1056461', '1070685', '1075538', '1082334', '1225977', '1438461', '1448761', '1867642', '1902628', '2032117', '2201813', '4618225']]"
地平,"[['1056868', '1060723', '1070685', '1075538', '3905366', '4159088'], ['1070685', '4159088']]"
地平线,"[['1056868', '1060723', '1070685', '1075538', '3905366', '4159088'], ['1070685', '4159088']]"
地球,"[['1000445', '1006073', '1019428', '1027191', '1028270', '1029159', '1030052', '1030200', '1058234', '1063190', '1065970', '1225977', '1275907', '1392604', '1394364', '1433640', '1452923', '1529893', '1770782', '1863930', '1867642', '1876333', '1884249', '1937939', '1962923', '2086633', '2256438', '2567698', '3066477', '3667783', '4618225', '4886245', '5275059', '5363767'], ['1019428', '1029159', '1058234', '1225977', '1394364', '1529893', '1867642', '1937939', '2256438', '3667783', '5275059']]"
地球村,"[['1867642'], []]"
地上,"[['1017143', '1031740', '1440992', '1529893', '1819974', '2067299', '3033668'], ['1440992', '2067299']]"
地生,"[['1529893'], []]"
地坛,"[['1024217', '1209899'], []]"
地谈,"[['1223845'], []]"
地铁,"[['1001885', '1003078', '1005576', '1006560', '1008988', '1019428', '1023045', '1031740', '1045466', '1046265', '1048007', '1050339', '1054889', '1056868', '1058234', '1080687', '1083762', '1090043', '1209899', '1261153', '1316648', '1346815', '1424741', '1529893', '1770782', '1856285', '1873231', '1906681', '1915337', '1975797', '2042063', '2081876', '2243692', '2250587', '2256039', '2295324', '2363651', '3662594', '3813669', '4113090', '4618225'], ['1005576', '1019428', '1045466', '1050339', '1058234', '1090043', '1316648', '1529893', '1873231', '1975797', '2243692', '2295324', '3813669']]"
地图,"[['1001885', '1063190', '1225977', '1441869', '1863930', '1917972', '1962923', '2036345', '2149669'], ['1225977', '1917972', '2149669']]"
地位,"[['1047447', '1396339', '1474773'], ['1474773']]"
地温,"[['1018482'], []]"
地下室,"[['1331571', '1868896'], []]"
地下铁,"[['1003148', '1013001', '1019338', '1021847', '1026686', '1031575', '1048537', '1049354', '1056733', '1059937', '1061367', '1066462', '1070441', '1358413', '1358416', '1358873', '1361249', '1367458', '1367964', '1394536'], ['1019338', '1031575', '1056733', '1066462', '1358416', '1367458']]"
地形,"[['1000856', '1006341', '1006560', '1006737', '1006881', '1007334', '1007914', '1009160', '1014278', '1015699', '1016300', '1018136', '1020241', '1023045', '1025753', '1028693', '1031740', '1033997', '1041482', '1041550', '1044772', '1046265', '1049189', '1049219', '1049348', '1058661', '1059336', '1059406', '1065970', '1076654', '1082162', '1082369', '1082398', '1082399', '1085860', '1089521', '1119522', '1192090', '1220219', '1227838', '1255625', '1283273', '1291760', '1322328', '1400717', '1449351', '1456183', '1767388', '1793721', '1848256', '1898609', '1903968', '1905830', '1914636', '1981355', '2042966', '2061644', '2062200', '2243692', '2250587', '3010130', '3014576', '3394338', '3608235', '3616310', '3662594', '3678694', '4242172'], ['1006560', '1007334', '1014278', '1018136', '1025753', '1033997', '1044772', '1049219', '1059336', '1076654', '1082398', '1089521', '1220219', '1283273', '1400717', '1767388', '1898609', '1914636', '2061644', '2250587', '3394338', '3662594']]"
地衣,"[['1927902'], []]"
地站,"[['2250587'], []]"
地震,"[['1035362'], []]"
地中,"[['1781300'], []]"
地中海,"[['1781300'], []]"
蒂凡尼,"[['3246904'], []]"
蒂皮,"[['1017563'], []]"
第八,"[['1143694', '1401425', '3608208'], ['3608208']]"
第二,"[['1004821', '1008145', '1009931', '1032581', '1046265', '1079440', '1082349', '1083428', '1204889', '1337279', '1400705', '1400717', '1401425', '1424741', '1440972', '1440992', '1442678', '1442680', '1457306', '1458164', '1467022', '1703544', '1763809', '1777932', '1786670', '1793721', '1827374', '1863930', '1949338', '2061644', '2159470', '2250587', '2297697', '2317973', '2326403', '2996596', '3010130', '3010133', '3246230', '3259440', '3315879', '3369793', '3547099', '3577218', '3598313', '3642673', '3646172', '3672237', '3776157', '4010969', '4741216', '4886245'], ['1009931', '1079440', '1204889', '1400717', '1440972', '1442680', '1467022', '1777932', '1827374', '2061644', '2297697', '2996596', '3246230', '3369793', '3598313', '3672237', '4741216']]"
第二本,"[['2042966', '3394338'], []]"
第二遍,"[['1003000', '1013208', '1013225', '1022060', '1030054', '1043579', '1052828', '1054889', '1061977', '1065970', '1082406', '1132956', '1401425', '1440345', '1464989', '1529893', '1703544', '1775691', '1794202', '1794620', '1805514', '1856285', '1863930', '1965977', '2026939', '2081509', '2086633', '2136484', '2139305', '2143304', '2250587', '3006581', '3124525', '3211779', '3259440', '3268399', '3609132', '3615061', '3865832', '3890174'], ['1013225', '1043579', '1061977', '1132956', '1464989', '1775691', '1805514', '1965977', '2086633', '2143304', '3124525', '3268399', '3865832']]"
第二部,"[['1013225', '1431836'], []]"
第二次,"[['1082349'], []]"
第二代,"[['1086249'], []]"
第二个,"[['1000517', '1043815', '1082522', '1088065', '1449348'], ['1082522']]"
第二辑,"[['4886245'], []]"
第二期,"[['4886245'], []]"
第二种,"[['2250587'], []]"
第九,"[['1752755'], []]"
第九个,"[['1752755'], []]"
第六,"[['1432596', '2035179', '3239824'], ['3239824']]"
第六代,"[['3239824'], []]"
第六集,"[['1432596'], []]"
第七,"[['1005660', '1084336', '4010969', '4741216', '4872671', '5275059'], ['4010969', '5275059']]"
第三,"[['1000482', '1001885', '1001896', '1003000', '1005492', '1008357', '1009931', '1010464', '1015767', '1017143', '1019568', '1021056', '1023045', '1025721', '1028409', '1028780', '1028916', '1029553', '1031740', '1033997', '1035477', '1036684', '1037602', '1038744', '1039752', '1041482', '1043008', '1050339', '1050743', '1051163', '1052828', '1054889', '1056295', '1056461', '1058661', '1062134', '1075538', '1075743', '1079252', '1082349', '1084336', '1088743', '1089511', '1119522', '1141406', '1159949', '1170801', '1186350', '1200840', '1205372', '1205394', '1212488', '1220853', '1223845', '1255598', '1270508', '1322328', '1336968', '1391191', '1401841', '1418180', '1427679', '1431836', '1436707', '1449661', '1465324', '1467535', '1467776', '1478487', '1758767', '1770782', '1775691', '1777823', '1786387', '1803022', '1819974', '1827702', '1856285', '1862115', '1863930', '1868698', '1873231', '1887754', '1908517', '1914572', '1917972', '1919072', '1919201', '1948901', '1949068', '1949338', '1963684', '1980436', '1985223', '2030664', '2042063', '2052448', '2056749', '2057285', '2068211', '2070844', '2081876', '2082194', '2123957', '2131415', '2136140', '2136484', '2139305', '2143304', '2143732', '2160556', '2180619', '2193877', '2194123', '2201813', '2243213', '2250587', '2265995', '2277795', '2297786', '2298149', '2317974', '2326403', '2359212', '2376336', '2381950', '3000997', '3010133', '3033668', '3080607', '3088496', '3187737', '3266344', '3266345', '3315879', '3344676', '3554154', '3800166', '4159088', '4872671'], ['1001896', '1008357', '1015767', '1021056', '1028409', '1029553', '1035477', '1038744', '1043008', '1051163', '1056295', '1062134', '1079252', '1088743', '1141406', '1186350', '1205394', '1223845', '1322328', '1401841', '1431836', '1465324', '1478487', '1775691', '1803022', '1856285', '1868698', '1908517', '1919072', '1949068', '1980436', '2042063', '2057285', '2081876', '2131415', '2139305', '2160556', '2194123', '2250587', '2297786', '2326403', '2381950', '3033668', '3187737', '3315879', '3800166']]"
第三本,"[['1000482'], []]"
第三遍,"[['1031740', '1039752', '1200840'], ['1200840']]"
第三部,"[['1052828'], []]"
第三个,"[['1949068'], []]"
第三世界,"[['2042063'], []]"
第三只,"[['1062134'], []]"
第十,"[['3055316'], []]"
第十三,"[['3055316'], []]"
第十三个,"[['3055316'], []]"
第四,"[['1003479', '1006646', '1006881', '1008357', '1016300', '1041550', '1045466', '1046492', '1047719', '1049189', '1059336', '1059406', '1069071', '1082387', '1227838', '1321789', '1770782', '1812439', '1858576', '1859140', '1914078', '1926700', '1948502', '2062200', '2119843', '2253642', '2256438', '2977174', '3191328', '3266345', '4038164'], ['1006881', '1041550', '1047719', '1059406', '1227838', '1812439', '1914078', '2062200', '2256438', '3266345']]"
第五,"[['1044547', '1045818', '1059769', '1346815', '3009033', '3009821', '3344676', '3394338', '3860856'], ['1059769', '3009821', '3860856']]"
第五册,"[['3009821'], []]"
第五年,"[['1346815'], []]"
第一版,"[['1223575'], []]"
第一本,"[['1007334', '1014533', '1014578', '1016523', '1024217', '1028780', '1032431', '1032945', '1043485', '1045818', '1047138', '1074841', '1082173', '1082518', '1082584', '1087758', '1089243', '1200840', '1205054', '1330096', '1401425', '1431836', '1455933', '1456034', '2081876', '3000997', '3323987'], ['1014578', '1028780', '1043485', '1074841', '1082584', '1200840', '1401425', '1456034', '3323987']]"
第一遍,"[['1013225', '1084336'], []]"
第一部,"[['1006113', '1014578', '1017143', '1024217', '1026425', '1077847', '1082334', '1796596', '3043491'], ['1017143', '1077847', '3043491']]"
第一次,"[['1016523', '1023045', '1024217', '1065239', '1077847', '1082154', '1082334', '1082518', '1201821', '1566311', '1780565', '1873231', '1949338', '2052448', '2070012', '2253642', '3369600'], ['1024217', '1082154', '1201821', '1873231', '2070012']]"
第一个,"[['1009160', '1023045', '1026425', '1034108', '1065970', '1440101', '1453210', '1765512'], ['1026425', '1440101']]"
第一集,"[['4886245'], []]"
第一季,"[['2133556'], []]"
第一千,"[['1470158'], []]"
第一人称,"[['1080309', '1807516', '3013903', '4074636'], ['3013903']]"
第一套,"[['1004992'], []]"
第一天,"[['2294740'], []]"
第一眼,"[['1059406'], []]"
第一种,"[['2243213'], []]"
弟,"[['1051363', '1417905'], []]"
颠倒,"[['1059336', '1903968', '2081876', '3274851'], ['2081876']]"
颠覆性,"[['1786670'], []]"
颠沛,"[['1003000', '1015699', '1017143', '1021056', '1038744', '1045818', '1048007', '1053759', '1059336', '1064275', '1082154', '1085799', '1396339', '1441853', '1456034', '1803022', '1812618', '1853785', '1921479', '1948901', '2036345', '2057285', '2118032', '2298149', '2376336', '2383005'], ['1017143', '1045818', '1059336', '1085799', '1456034', '1853785', '2036345', '2298149']]"
点灯,"[['1882933', '1926103', '1938591', '1948901'], ['1938591']]"
点点,"[['1024197', '1027587', '1029791', '1040771', '1046265', '1054685', '1061977', '1082154', '1090043', '1469051', '3013903', '3191328'], ['1029791', '1054685', '1090043', '3191328']]"
点饥,"[['1002299', '1007305', '1011754', '1014561', '1015584', '1016806', '1017841', '1021273', '1023045', '1024197', '1026411', '1027587', '1040771', '1045818', '1046265', '1054685', '1059336', '1064828', '1066462', '1070851', '1082518', '1083428', '1084336', '1087758', '1089521', '1207819', '1255598', '1255624', '1263399', '1336968', '1337292', '1344548', '1346815', '1368256', '1396339', '1424741', '1441241', '1442680', '1729284', '1780565', '1789837', '1789841', '1858513', '1860750', '1897413', '1980436', '1981042', '2036345', '2042966', '2143732', '2161892', '3013903', '3191328', '3344676', '3426869', '3577218', '3644791', '3662594', '3786755', '4074636', '4149893', '4171951', '4242172'], ['1011754', '1016806', '1023045', '1027587', '1046265', '1064828', '1082518', '1087758', '1255598', '1336968', '1346815', '1424741', '1729284', '1789841', '1897413', '2036345', '2161892', '3344676', '3644791', '4074636', '4242172']]"
点石成金,"[['1827702'], []]"
点小說,"[['1022632'], []]"
点穴,"[['1882933', '1916726', '1926103', '1938591', '1948901', '2057285', '2149655', '2265312', '2298149', '2340300', '3266344', '3800166'], ['1926103', '2057285', '2298149', '3800166']]"
典書,"[['1036274'], []]"
典藏,"[['1003479', '1009938', '1013416', '1033825', '1052360', '1082406', '1084336', '1337297', '1424741', '1449348', '1449351', '1449352', '2032117', '2081876', '2240482'], ['1013416', '1082406', '1424741', '1449352', '2240482']]"
典故,"[['1000856', '1002299', '1003479', '1004821', '1005918', '1006113', '1006197', '1006770', '1007305', '1007433', '1007772', '1008145', '1008357', '1009938', '1010464', '1010472', '1010898', '1012032', '1012489', '1012561', '1012611', '1012637', '1013267', '1013380', '1013502', '1014561', '1016003', '1016631', '1019568', '1021273', '1023045', '1024197', '1027587', '1029553', '1031741', '1033825', '1033997', '1035477', '1035848', '1039487', '1040104', '1040211', '1043008', '1043485', '1044547', '1045926', '1046209', '1047138', '1047719', '1049348', '1053759', '1058661', '1059112', '1059258', '1059336', '1060774', '1064275', '1068920', '1070851', '1073708', '1075492', '1077528', '1077847', '1078554', '1080309', '1082518', '1082582', '1082584', '1083428', '1083477', '1084336', '1085860', '1088581', '1089517', '1119522', '1119528', '1119839', '1141406', '1152701', '1159939', '1170801', '1186350', '1186392', '1203244', '1203251', '1203426', '1205054', '1205370', '1205372', '1205373', '1205394', '1212488', '1212893', '1213546', '1213945', '1220219', '1255288', '1255624', '1255625', '1258498', '1261153', '1263399', '1279212', '1292416', '1316648', '1329959', '1391191', '1427288', '1427302', '1456183', '1458164', '1489555', '1731370', '1765512', '1786670', '1792668', '1803022', '1805514', '1807516', '1818347', '1827374', '1829836', '1848256', '1856285', '1862115', '1873231', '1874961', '1883245', '1902628', '1903164', '1908517', '1931318', '1948901', '1986590', '2057285', '2139305', '2154960', '2298149', '3006581', '3055316', '3266344', '3347997', '3800166', '4159088'], ['1003479', '1006113', '1007305', '1008145', '1010464', '1012032', '1012611', '1013380', '1016003', '1021273', '1027587', '1033825', '1035848', '1040211', '1044547', '1047138', '1053759', '1059258', '1064275', '1073708', '1077847', '1082518', '1083428', '1085860', '1119522', '1141406', '1170801', '1203244', '1205054', '1205373', '1212893', '1220219', '1255625', '1263399', '1316648', '1427288', '1458164', '1765512', '1803022', '1818347', '1848256', '1873231', '1902628', '1931318', '2057285', '2298149', '3266344', '4159088']]"
典好,"[['1255625'], []]"
典阅,"[['2359003'], []]"
电车,"[['1007914'], []]"
电光,"[['1056733', '1066462', '1080370', '1261153', '1400705', '1440345', '1926700', '2275502', '3239824', '3246904', '3776157'], ['1080370', '1440345', '3239824']]"
电话机,"[['1046265'], []]"
电路,"[['2326403'], []]"
电骡,"[['1032431'], []]"
