Token,Index
(,"[['1001136', '1003000', '1006881', '1008145', '1011882', '1013001', '1014561', '1015452', '1016300', '1016523', '1019338', '1020959', '1021425', '1021615', '1021847', '1023048', '1024217', '1024701', '1025176', '1026411', '1029159', '1031575', '1032581', '1035614', '1038267', '1039752', '1041550', '1043201', '1046172', '1047447', '1048537', '1049190', '1049354', '1050349', '1051163', '1052380', '1056733', '1057244', '1058234', '1059937', '1061367', '1062326', '1063190', '1065970', '1066462', '1070441', '1079680', '1090043', '1212893', '1281622', '1291809', '1427288', '1458164', '1470159', '1905830', '1916726', '3088496', '3191328', '3678694'], ['1006881', '1013001', '1016300', '1020959', '1021847', '1024701', '1029159', '1035614', '1041550', '1047447', '1049354', '1052380', '1058234', '1062326', '1066462', '1090043', '1291809', '1470159', '3088496']]"
),"[['1011977', '1046172', '1065970', '1914127'], ['1065970']]"
*,"[['1003284', '1005492', '1015403', '1015767', '1020670', '1026425', '1031740', '1034108', '1040771', '1043815', '1044316', '1046265', '1049189', '1049348', '1059406', '1059419', '1072842', '1082387', '1082398', '1220853', '1346815', '1361264', '1418707', '1424741', '1431836', '1436348', '1473250', '1529893', '1829226', '1829836', '1867642', '1873231', '1903968', '1907739', '1941558'], ['1015403', '1026425', '1040771', '1046265', '1059406', '1082387', '1346815', '1424741', '1473250', '1829836', '1903968']]"
+,"[['1291760'], []]"
++,"[['2295324'], []]"
-,"[['1007305', '1030052', '1058234', '1065970', '2243692', '2256438', '5275059'], ['1058234', '2256438']]"
---,"[['1017563', '1025336', '1070441', '1529893', '1865891', '1887754', '3181927'], ['1070441', '1887754']]"
----,"[['1004088', '1030469', '1036274', '1193821', '1424555', '1458192', '1474773', '1474842', '1853323', '1856025', '2130986', '2160226', '2170629'], ['1036274', '1458192', '1853323', '2160226']]"
-----,"[['1007305', '1013380', '1014278', '1027191', '1040771', '1054889', '1057244', '1058679', '1059336', '1061242', '1062193', '1069848', '1073349', '1082398', '1082518', '1083003', '1361264', '1382829', '1400705', '1465324', '1469051', '1529893', '1770782', '1786670', '1794620', '1796596', '1919201', '1963310', '1981042', '2034893', '2133074', '2154960', '2256039', '2339950', '2345727', '2363651', '2380307', '2567698', '3009033', '3016219', '3017857', '3191328', '3211779', '3259440', '3344676', '3392046', '3394338', '3554154', '3598313', '3609132', '3646172', '3813669', '3995799', '4074636', '4714734', '4872671', '4886245'], ['1014278', '1054889', '1059336', '1069848', '1082518', '1382829', '1469051', '1786670', '1919201', '2034893', '2256039', '2363651', '3009033', '3191328', '3344676', '3554154', '3646172', '4074636', '4886245']]"
------,"[['1426971', '1919072'], []]"
