epoch_idx	precision@5	recall@5	ndcg@5	precision@10	recall@10	ndcg@10
10.0	0.2706935405731201	0.05965779349207878	0.28083548236479583	0.23624162375926971	0.10459887981414795	0.25870988281508056
20.0	0.2532438635826111	0.053804922848939896	0.2623554367246677	0.22102908790111542	0.09449901431798935	0.24173466730152507
30.0	0.24832214415073395	0.053654637187719345	0.25803815838015953	0.22908276319503784	0.1002751886844635	0.2473514772728233
40.0	0.24966444075107574	0.05398034304380417	0.26219086499460076	0.22371365129947662	0.09544795751571655	0.24613913192029532
50.0	0.24116331338882446	0.05321311578154564	0.25089246553593997	0.21991051733493805	0.0956161618232727	0.23917799151499258
60.0	0.247427299618721	0.05637988820672035	0.25833070166413635	0.21789710223674774	0.09576091915369034	0.24067066396540562
70.0	0.23668904602527618	0.05156514421105385	0.24831408087068124	0.21454139053821564	0.09216073155403137	0.2352998257616887
80.0	0.23624162375926971	0.05384392663836479	0.24897528850271108	0.21476510167121887	0.09218942373991013	0.23609742627601332
90.0	0.2322147786617279	0.05132362246513367	0.2425700730121493	0.2136465311050415	0.09064812958240509	0.23216237981551685
100.0	0.23266218602657318	0.0529094934463501	0.24318257521596215	0.2143176794052124	0.09186924248933792	0.23274704254832865
110.0	0.22863535583019257	0.0505174957215786	0.23511324926031862	0.20872484147548676	0.08948741108179092	0.22521636300940404
