epoch_idx	precision@5	recall@5	ndcg@5	precision@10	recall@10	ndcg@10
10.0	0.2116331160068512	0.04453938826918602	0.22160691227629156	0.19753915071487427	0.08689011633396149	0.2138867318655315
20.0	0.27427294850349426	0.0605490580201149	0.2857579832617782	0.247427299618721	0.11207307130098343	0.2702405582684516
30.0	0.2885906398296356	0.06411854177713394	0.30171064097252887	0.26174497604370117	0.11835208535194397	0.28636500500759376
40.0	0.29664430022239685	0.06809597462415695	0.3060486776981134	0.2604026794433594	0.11622250825166702	0.2852693409791438
50.0	0.29351234436035156	0.06501907110214233	0.3062504358608644	0.2606264054775238	0.11559980362653732	0.28648733307595126
60.0	0.29261747002601624	0.0663881003856659	0.3053923450412866	0.25100672245025635	0.11154724657535553	0.2794523265941034
70.0	0.28143176436424255	0.06240636110305786	0.2973586027424097	0.24496644735336304	0.10849246382713318	0.2737745661410229
80.0	0.2791946232318878	0.061651941388845444	0.29652068198822434	0.24317674338817596	0.10931623727083206	0.27284103110103697
90.0	0.2751677930355072	0.06271683424711227	0.29298381180387817	0.23646533489227295	0.10547219216823578	0.2673209866006841
100.0	0.2738255262374878	0.06261100620031357	0.2916729109148975	0.23691274225711823	0.10591817647218704	0.2669717225796078
110.0	0.2671141028404236	0.061216071248054504	0.28653251624547543	0.23333331942558289	0.10250284522771835	0.26303529442167234
120.0	0.26756152510643005	0.062112875282764435	0.2856204753419966	0.231543630361557	0.10096490383148193	0.2608801494730999
130.0	0.2612975537776947	0.06044542416930199	0.28204381010281443	0.23199103772640228	0.10197068005800247	0.261673804112903
140.0	0.26756152510643005	0.06180281564593315	0.28328477677369834	0.2281879186630249	0.09943145513534546	0.2569606904532889
