epoch_idx	precision@5	recall@5	ndcg@5	precision@10	recall@10	ndcg@10
10.0	0.25950783491134644	0.05616455525159836	0.2704310690519942	0.22997763752937317	0.09833584725856781	0.2513100869852819
20.0	0.2505593001842499	0.05147658288478851	0.26326297284568406	0.22013422846794128	0.09262427687644958	0.24248390341060336
30.0	0.24653245508670807	0.054346900433301926	0.2613626993235349	0.22192393243312836	0.09686871618032455	0.24524514640463885
40.0	0.244742751121521	0.0533820241689682	0.25821641831630393	0.22058166563510895	0.09430919587612152	0.24258195991724446
50.0	0.24161075055599213	0.05305568128824234	0.2504047405196175	0.21789707243442535	0.09379992634057999	0.23683778851249263
60.0	0.23579420149326324	0.0518864281475544	0.24416335124092833	0.21588367223739624	0.09258080273866653	0.23321112542945274
70.0	0.2335570603609085	0.050060518085956573	0.2403090849578661	0.21275168657302856	0.09129977226257324	0.22964781170456722
80.0	0.22997763752937317	0.049066606909036636	0.236788951421086	0.21163310110569	0.09019820392131805	0.22791029659417386
90.0	0.21968680620193481	0.04669598489999771	0.22855256977164048	0.20000001788139343	0.085183285176754	0.21700254751221926
100.0	0.22326622903347015	0.048857174813747406	0.224334885763202	0.20559285581111908	0.09033770114183426	0.21751207442239473
110.0	0.21118570864200592	0.04495973885059357	0.21597558036922057	0.20067115128040314	0.08599185943603516	0.21264281542692692
